experiment,sequence,rep,IDX,t_compress,t_decompress
Main,soldier,20,1,2.4608092308044434,0.4133141040802002
Main,soldier,21,1,2.429699420928955,0.41444873809814453
Main,soldier,22,1,2.4457852840423584,0.42385196685791016
Main,soldier,23,1,2.4734818935394287,0.4162411689758301
Main,soldier,24,1,2.443767786026001,0.4213535785675049
Main,soldier,25,1,2.4824163913726807,0.4303097724914551
Main,soldier,26,1,2.4690372943878174,0.42638683319091797
Main,soldier,27,1,2.486973762512207,0.4126763343811035
Main,soldier,28,1,2.449129581451416,0.4317193031311035
Main,soldier,29,1,2.4752891063690186,0.4295539855957031
Main,soldier,0,2,2.117110013961792,0.17075538635253906
Main,soldier,1,2,2.1044867038726807,0.16123509407043457
Main,soldier,2,2,2.102649211883545,0.17075753211975098
Main,soldier,3,2,2.1055374145507812,0.1701033115386963
Main,soldier,4,2,2.145982503890991,0.17208147048950195
Main,soldier,5,2,2.1244149208068848,0.16038012504577637
Main,soldier,6,2,2.118056058883667,0.1698753833770752
Main,soldier,7,2,2.1087565422058105,0.17050552368164062
Main,soldier,8,2,2.1130337715148926,0.17168021202087402
Main,soldier,9,2,2.115760564804077,0.17194628715515137
Main,soldier,10,2,2.0985629558563232,0.17035841941833496
Main,soldier,11,2,2.118746757507324,0.17088580131530762
Main,soldier,12,2,2.120582342147827,0.17080330848693848
Main,soldier,13,2,2.116111993789673,0.1718590259552002
Main,soldier,14,2,2.100318193435669,0.16059565544128418
Main,soldier,15,2,2.1079025268554688,0.16214418411254883
Main,soldier,16,2,2.103123903274536,0.1688246726989746
Main,soldier,17,2,2.113879919052124,0.16158127784729004
Main,soldier,18,2,2.1056020259857178,0.1707613468170166
Main,soldier,19,2,2.1054701805114746,0.17054986953735352
Main,soldier,20,2,2.1304657459259033,0.1711130142211914
Main,soldier,21,2,2.124230146408081,0.16019439697265625
Main,soldier,22,2,2.117488145828247,0.16088509559631348
Main,soldier,23,2,2.1147124767303467,0.170884370803833
Main,soldier,24,2,2.1048693656921387,0.16992449760437012
Main,soldier,25,2,2.108062744140625,0.17131829261779785
Main,soldier,26,2,2.107006549835205,0.16588401794433594
Main,soldier,27,2,2.119171619415283,0.17275285720825195
Main,soldier,28,2,2.116436719894409,0.17063164710998535
Main,soldier,29,2,2.1183602809906006,0.17513322830200195
G-PCC,soldier,0,0,9.522,0.128
G-PCC,soldier,1,0,9.511,0.134
G-PCC,soldier,2,0,9.522,0.129
G-PCC,soldier,3,0,9.541,0.13
G-PCC,soldier,4,0,9.485,0.128
G-PCC,soldier,5,0,9.495,0.139
G-PCC,soldier,6,0,9.524,0.133
G-PCC,soldier,7,0,9.504,0.134
G-PCC,soldier,8,0,9.536,0.137
G-PCC,soldier,9,0,9.496,0.13
G-PCC,soldier,10,0,9.483,0.136
G-PCC,soldier,11,0,9.508,0.137
G-PCC,soldier,12,0,9.51,0.128
G-PCC,soldier,13,0,9.501,0.138
G-PCC,soldier,14,0,9.527,0.122
G-PCC,soldier,15,0,9.5,0.136
G-PCC,soldier,16,0,9.462,0.135
G-PCC,soldier,17,0,9.497,0.129
G-PCC,soldier,18,0,9.489,0.135
G-PCC,soldier,19,0,9.525,0.131
G-PCC,soldier,20,0,9.507,0.141
G-PCC,soldier,21,0,9.491,0.13
G-PCC,soldier,22,0,9.459,0.134
G-PCC,soldier,23,0,9.494,0.132
G-PCC,soldier,24,0,9.536,0.135
G-PCC,soldier,25,0,9.521,0.131
G-PCC,soldier,26,0,9.493,0.128
G-PCC,soldier,27,0,9.5,0.128
G-PCC,soldier,28,0,9.496,0.144
G-PCC,soldier,29,0,9.499,0.13
G-PCC,soldier,0,1,8.046,0.416
G-PCC,soldier,1,1,8.061,0.424
G-PCC,soldier,2,1,8.023,0.403
G-PCC,soldier,3,1,8.09,0.415
G-PCC,soldier,4,1,8.067,0.405
G-PCC,soldier,5,1,8.072,0.408
G-PCC,soldier,6,1,8.023,0.406
G-PCC,soldier,7,1,8.077,0.415
G-PCC,soldier,8,1,8.035,0.422
G-PCC,soldier,9,1,8.06,0.412
G-PCC,soldier,10,1,8.033,0.412
G-PCC,soldier,11,1,8.058,0.407
G-PCC,soldier,12,1,8.049,0.403
G-PCC,soldier,13,1,8.017,0.404
G-PCC,soldier,14,1,8.027,0.411
G-PCC,soldier,15,1,8.054,0.403
G-PCC,soldier,16,1,8.086,0.42
G-PCC,soldier,17,1,8.068,0.393
G-PCC,soldier,18,1,8.065,0.414
G-PCC,soldier,19,1,8.015,0.42
G-PCC,soldier,20,1,8.001,0.404
G-PCC,soldier,21,1,8.086,0.418
G-PCC,soldier,22,1,8.091,0.417
G-PCC,soldier,23,1,8.033,0.41
G-PCC,soldier,24,1,8.076,0.413
G-PCC,soldier,25,1,8.077,0.413
G-PCC,soldier,26,1,8.03,0.407
G-PCC,soldier,27,1,8.033,0.421
G-PCC,soldier,28,1,8.042,0.42
G-PCC,soldier,29,1,8.059,0.424
G-PCC,soldier,0,2,11.706,1.497
G-PCC,soldier,1,2,11.677,1.507
G-PCC,soldier,2,2,11.654,1.499
G-PCC,soldier,3,2,11.661,1.471
G-PCC,soldier,4,2,11.693,1.468
G-PCC,soldier,5,2,11.657,1.505
G-PCC,soldier,6,2,11.632,1.508
G-PCC,soldier,7,2,11.711,1.465
G-PCC,soldier,8,2,11.745,1.528
G-PCC,soldier,9,2,11.708,1.508
G-PCC,soldier,10,2,11.709,1.498
G-PCC,soldier,11,2,11.677,1.503
G-PCC,soldier,12,2,11.681,1.448
G-PCC,soldier,13,2,11.621,1.509
G-PCC,soldier,14,2,11.69,1.482
G-PCC,soldier,15,2,11.684,1.509
G-PCC,soldier,16,2,11.677,1.486
G-PCC,soldier,17,2,11.759,1.462
G-PCC,soldier,18,2,11.617,1.494
G-PCC,soldier,19,2,11.685,1.505
