metric,pointCloud,method,BD-PSNR,BD-Rate
sym_p2p_psnr,EPFL,JPEG-Pleno,-6.798335060605869,2791.841461178307
sym_p2p_psnr,Unicorn,G-PCC,-11.099652870119359,1392.7327597221824
sym_p2p_psnr,Unicorn,V-PCC,-7.340202454850675,
sym_p2p_psnr,Unicorn,IT-DL-PCC,-8.080287482539978,
sym_p2p_psnr,Unicorn,JPEG-Pleno,-7.999042917744016,826.0950944873293
sym_p2p_psnr,shiva,G-PCC,-6.568990868204978,1244.28842868162
sym_p2p_psnr,shiva,V-PCC,-3.5386237980164523,129.26097790434326
sym_p2p_psnr,shiva,IT-DL-PCC,-3.341500336772819,9912.100765894551
sym_p2p_psnr,shiva,JPEG-Pleno,-3.7624660871087245,122.77225133276045
sym_p2p_psnr,Arco,G-PCC,-8.902623199720233,810.9462505356236
sym_p2p_psnr,Arco,V-PCC,-5.951236304734142,
sym_p2p_psnr,Arco,IT-DL-PCC,-5.6234798037236065,738.413428508398
sym_p2p_psnr,Arco,JPEG-Pleno,-6.5449777895570165,529.5891871560889
sym_d2_psnr,soldier,G-PCC,4.523492463184041,-49.83048352696955
sym_d2_psnr,soldier,V-PCC,2.9576662367699997,-40.810067317751674
sym_d2_psnr,soldier,IT-DL-PCC,1.0954290665357072,-14.229519384786526
sym_d2_psnr,soldier,JPEG-Pleno,-1.2567174848690643,21.950750624382962
sym_d2_psnr,bouquet,G-PCC,1.4998212999557428,-3.0741921707688524
sym_d2_psnr,bouquet,V-PCC,1.149432680140221,1.1444473594468763
sym_d2_psnr,bouquet,IT-DL-PCC,2.847676108872598,-8.967222889387138
sym_d2_psnr,bouquet,JPEG-Pleno,-4.37748600143401,406.24923914792896
sym_d2_psnr,stmichael,G-PCC,2.095071486124796,-16.38140120550029
sym_d2_psnr,stmichael,V-PCC,-1.6119857761083132,1.054812626714341
sym_d2_psnr,stmichael,IT-DL-PCC,-0.24809716389199135,34.385814438581306
sym_d2_psnr,stmichael,JPEG-Pleno,-1.4078410928899914,53.35653765329587
sym_d2_psnr,thaidancer,G-PCC,3.028761138112473,-44.87176935310245
sym_d2_psnr,thaidancer,V-PCC,-1.497138985600984,26.208413191572543
sym_d2_psnr,thaidancer,IT-DL-PCC,-0.6421466332015406,10.316332565833664
sym_d2_psnr,thaidancer,JPEG-Pleno,-5.135162829076251,171.26397429986292
sym_d2_psnr,Facade,G-PCC,-1.4186031536162893,-56.581715472424335
